municipality_code,district_code,state_code,name,area_km2,population,longitude,latitude,settlement_type
01054046,01054,01,Hörnum (Sylt),5.64,824,8.287218,54.756098,gering besiedelt
01054061,01054,01,Kampen (Sylt),8.43,492,8.342294,54.955508,gering besiedelt
01054078,01054,01,List auf Sylt,18.42,1540,8.436183,55.020026,gering besiedelt
01054149,01054,01,Wenningstedt-Braderup (Sylt),6.16,1406,8.319785,54.931063,mittlere Besiedlungsdichte
01054003,01054,01,Ahrenviöl,10.11,528,9.206895,54.531254,gering besiedelt
01054004,01054,01,Ahrenviölfeld,7.29,226,9.274084,54.534607,gering besiedelt
01054011,01054,01,Behrendorf,15.29,574,9.223509,54.565192,gering besiedelt
01054013,01054,01,Bondelum,9.18,182,9.26682,54.556555,gering besiedelt
01054041,01054,01,Haselund,12.79,928,9.182961,54.591683,gering besiedelt
01054057,01054,01,Immenstedt,14.61,683,9.162503,54.541449,gering besiedelt
01054079,01054,01,Löwenstedt,19.62,693,9.174887,54.621612,gering besiedelt
01054092,01054,01,Norstedt,13.5,380,9.129313,54.588429,gering besiedelt
01054101,01054,01,Oster-Ohrstedt,11.29,669,9.227445,54.514539,gering besiedelt
01054118,01054,01,Schwesing,15.63,908,9.134622,54.493899,gering besiedelt
01054123,01054,01,Sollwitt,10.95,296,9.228482,54.594606,gering besiedelt
01054144,01054,01,Viöl,18.96,2356,9.180557,54.568875,gering besiedelt
01054152,01054,01,Wester-Ohrstedt,18.54,1105,9.190063,54.507226,gering besiedelt
01054039,01054,01,Gröde,2.52,7,8.717443,54.631686,gering besiedelt
01054050,01054,01,Hallig Hooge,5.78,105,8.550938,54.566389,gering besiedelt
01054074,01054,01,Langeneß,11.57,118,8.594129,54.637917,gering besiedelt
01054103,01054,01,Pellworm,37.45,1185,8.686238,54.518632,gering besiedelt
01054005,01054,01,Alkersum,9.07,404,8.511244,54.708245,gering besiedelt
01054015,01054,01,Borgsum,5.51,315,8.460009,54.699989,gering besiedelt
01054025,01054,01,Dunsum,2.72,78,8.414572,54.730715,gering besiedelt
01054083,01054,01,Midlum,8.5,457,8.518625,54.714878,gering besiedelt
01054085,01054,01,Nebel,11.95,914,8.353658,54.650612,gering besiedelt
01054087,01054,01,Nieblum,7.86,542,8.489439,54.691947,gering besiedelt
01054089,01054,01,Norddorf auf Amrum,5.89,526,8.332935,54.679638,gering besiedelt
01054094,01054,01,Oevenum,10.87,447,8.530541,54.710109,gering besiedelt
01054098,01054,01,Oldsum,13.31,552,8.447735,54.732075,gering besiedelt
01054129,01054,01,Süderende,2.59,175,8.439339,54.725601,gering besiedelt
01054143,01054,01,Utersum,5.26,404,8.407243,54.714455,gering besiedelt
01054158,01054,01,Witsum,1.59,45,8.44106,54.698516,gering besiedelt
01054160,01054,01,Wittdün auf Amrum,2.61,734,8.392971,54.626534,gering besiedelt
01054163,01054,01,Wrixum,7.56,581,8.549002,54.699012,gering besiedelt
01054164,01054,01,"Wyk auf Föhr, Stadt",8.08,4113,8.567212,54.691093,gering besiedelt
01054001,01054,01,Achtrup,29.9,1568,9.028319,54.788981,gering besiedelt
